data,concelho,var,n
2007/1 Trimestre,Cascais,Fogos em Oferta,2820
2007/1 Trimestre,Lisboa,Fogos em Oferta,6303
2007/1 Trimestre,Loures,Fogos em Oferta,593
2007/1 Trimestre,Mafra,Fogos em Oferta,271
2007/1 Trimestre,Oeiras,Fogos em Oferta,2319
2007/1 Trimestre,Sintra,Fogos em Oferta,3653
2007/1 Trimestre,Vila Franca de Xira,Fogos em Oferta,755
2007/1 Trimestre,Amadora,Fogos em Oferta,1927
2007/1 Trimestre,Odivelas,Fogos em Oferta,897
2007/1 Trimestre,Alcochete,Fogos em Oferta,333
2007/1 Trimestre,Almada,Fogos em Oferta,2503
2007/1 Trimestre,Barreiro,Fogos em Oferta,251
2007/1 Trimestre,Moita,Fogos em Oferta,272
2007/1 Trimestre,Montijo,Fogos em Oferta,547
2007/1 Trimestre,Palmela,Fogos em Oferta,673
2007/1 Trimestre,Seixal,Fogos em Oferta,2018
2007/1 Trimestre,Sesimbra,Fogos em Oferta,1123
2007/1 Trimestre,Setúbal,Fogos em Oferta,2085
2007/1 Trimestre,Espinho,Fogos em Oferta,22
2007/1 Trimestre,Gondomar,Fogos em Oferta,1422
2007/1 Trimestre,Maia,Fogos em Oferta,1533
2007/1 Trimestre,Matosinhos,Fogos em Oferta,2601
2007/1 Trimestre,Porto,Fogos em Oferta,3921
2007/1 Trimestre,Póvoa de Varzim,Fogos em Oferta,74
2007/1 Trimestre,Valongo,Fogos em Oferta,676
2007/1 Trimestre,Vila do Conde,Fogos em Oferta,149
2007/1 Trimestre,Vila Nova de Gaia,Fogos em Oferta,3965
2007/1 Trimestre,Cascais,Valor de Oferta / m2,2188
2007/1 Trimestre,Lisboa,Valor de Oferta / m2,2622
2007/1 Trimestre,Loures,Valor de Oferta / m2,1747
2007/1 Trimestre,Mafra,Valor de Oferta / m2,1395
2007/1 Trimestre,Oeiras,Valor de Oferta / m2,2089
2007/1 Trimestre,Sintra,Valor de Oferta / m2,1428
2007/1 Trimestre,Vila Franca de Xira,Valor de Oferta / m2,1540
2007/1 Trimestre,Amadora,Valor de Oferta / m2,1724
2007/1 Trimestre,Odivelas,Valor de Oferta / m2,1632
2007/1 Trimestre,Alcochete,Valor de Oferta / m2,1198
