data,concelho,var,n
2007/1 Trimestre,Cascais,Fogos Vendidos,1332
2007/1 Trimestre,Lisboa,Fogos Vendidos,3488
2007/1 Trimestre,Loures,Fogos Vendidos,911
2007/1 Trimestre,Oeiras,Fogos Vendidos,988
2007/1 Trimestre,Sintra,Fogos Vendidos,1896
2007/1 Trimestre,Vila Franca de Xira,Fogos Vendidos,821
2007/1 Trimestre,Amadora,Fogos Vendidos,892
2007/1 Trimestre,Odivelas,Fogos Vendidos,747
2007/1 Trimestre,Maia,Fogos Vendidos,718
2007/1 Trimestre,Matosinhos,Fogos Vendidos,918
2007/1 Trimestre,Porto,Fogos Vendidos,1370
2007/1 Trimestre,Vila do Conde,Fogos Vendidos,357
2007/1 Trimestre,Vila Nova de Gaia,Fogos Vendidos,1489
2007/1 Trimestre,Almada,Fogos Vendidos,1185
2007/1 Trimestre,Moita,Fogos Vendidos,331
2007/1 Trimestre,Montijo,Fogos Vendidos,389
2007/1 Trimestre,Palmela,Fogos Vendidos,463
2007/1 Trimestre,Seixal,Fogos Vendidos,858
2007/1 Trimestre,Setúbal,Fogos Vendidos,806
2007/1 Trimestre,Cascais,Preço de Venda / m2,2146
2007/1 Trimestre,Lisboa,Preço de Venda / m2,2310
2007/1 Trimestre,Loures,Preço de Venda / m2,1695
2007/1 Trimestre,Oeiras,Preço de Venda / m2,1781
2007/1 Trimestre,Sintra,Preço de Venda / m2,1203
2007/1 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1475
2007/1 Trimestre,Amadora,Preço de Venda / m2,1543
2007/1 Trimestre,Odivelas,Preço de Venda / m2,1589
2007/1 Trimestre,Almada,Preço de Venda / m2,1491
2007/1 Trimestre,Moita,Preço de Venda / m2,945
2007/1 Trimestre,Montijo,Preço de Venda / m2,1148
2007/1 Trimestre,Palmela,Preço de Venda / m2,988
2007/1 Trimestre,Seixal,Preço de Venda / m2,1512
2007/1 Trimestre,Setúbal,Preço de Venda / m2,1051
2007/1 Trimestre,Maia,Preço de Venda / m2,1313
2007/1 Trimestre,Matosinhos,Preço de Venda / m2,1669
2007/1 Trimestre,Porto,Preço de Venda / m2,1793
2007/1 Trimestre,Vila do Conde,Preço de Venda / m2,948
2007/1 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1249
2007/2 Trimestre,Cascais,Preço de Venda / m2,1653
2007/2 Trimestre,Lisboa,Preço de Venda / m2,2243
2007/2 Trimestre,Loures,Preço de Venda / m2,1267
2007/2 Trimestre,Mafra,Preço de Venda / m2,1314
2007/2 Trimestre,Oeiras,Preço de Venda / m2,1924
2007/2 Trimestre,Sintra,Preço de Venda / m2,1280
2007/2 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1507
2007/2 Trimestre,Amadora,Preço de Venda / m2,1559
2007/2 Trimestre,Odivelas,Preço de Venda / m2,1649
2007/2 Trimestre,Almada,Preço de Venda / m2,1362
2007/2 Trimestre,Barreiro,Preço de Venda / m2,985
2007/2 Trimestre,Moita,Preço de Venda / m2,957
2007/2 Trimestre,Palmela,Preço de Venda / m2,1077
2007/2 Trimestre,Seixal,Preço de Venda / m2,1547
2007/2 Trimestre,Sesimbra,Preço de Venda / m2,1170
2007/2 Trimestre,Setúbal,Preço de Venda / m2,1109
2007/2 Trimestre,Gondomar,Preço de Venda / m2,764
2007/2 Trimestre,Maia,Preço de Venda / m2,1154
2007/2 Trimestre,Matosinhos,Preço de Venda / m2,1494
2007/2 Trimestre,Porto,Preço de Venda / m2,1750
2007/2 Trimestre,Vila do Conde,Preço de Venda / m2,1149
2007/2 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1172
2007/2 Trimestre,Cascais,Fogos Vendidos,1353
2007/2 Trimestre,Lisboa,Fogos Vendidos,3511
2007/2 Trimestre,Loures,Fogos Vendidos,1172
2007/2 Trimestre,Mafra,Fogos Vendidos,601
2007/2 Trimestre,Oeiras,Fogos Vendidos,1104
2007/2 Trimestre,Sintra,Fogos Vendidos,2013
2007/2 Trimestre,Vila Franca de Xira,Fogos Vendidos,811
2007/2 Trimestre,Amadora,Fogos Vendidos,900
2007/2 Trimestre,Odivelas,Fogos Vendidos,741
2007/2 Trimestre,Gondomar,Fogos Vendidos,582
2007/2 Trimestre,Maia,Fogos Vendidos,725
2007/2 Trimestre,Matosinhos,Fogos Vendidos,935
2007/2 Trimestre,Porto,Fogos Vendidos,1360
2007/2 Trimestre,Vila do Conde,Fogos Vendidos,388
2007/2 Trimestre,Vila Nova de Gaia,Fogos Vendidos,1654
2007/2 Trimestre,Almada,Fogos Vendidos,1056
2007/2 Trimestre,Barreiro,Fogos Vendidos,420
2007/2 Trimestre,Moita,Fogos Vendidos,293
2007/2 Trimestre,Palmela,Fogos Vendidos,395
2007/2 Trimestre,Seixal,Fogos Vendidos,940
2007/2 Trimestre,Sesimbra,Fogos Vendidos,446
2007/2 Trimestre,Setúbal,Fogos Vendidos,856
2007/3 Trimestre,Cascais,Preço de Venda / m2,1731
2007/3 Trimestre,Lisboa,Preço de Venda / m2,2211
2007/3 Trimestre,Loures,Preço de Venda / m2,1409
2007/3 Trimestre,Oeiras,Preço de Venda / m2,2091
2007/3 Trimestre,Sintra,Preço de Venda / m2,1383
2007/3 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1409
2007/3 Trimestre,Amadora,Preço de Venda / m2,1428
2007/3 Trimestre,Odivelas,Preço de Venda / m2,1617
2007/3 Trimestre,Almada,Preço de Venda / m2,1389
2007/3 Trimestre,Barreiro,Preço de Venda / m2,1161
2007/3 Trimestre,Palmela,Preço de Venda / m2,901
2007/3 Trimestre,Seixal,Preço de Venda / m2,1487
2007/3 Trimestre,Sesimbra,Preço de Venda / m2,1108
2007/3 Trimestre,Setúbal,Preço de Venda / m2,1095
2007/3 Trimestre,Gondomar,Preço de Venda / m2,872
2007/3 Trimestre,Maia,Preço de Venda / m2,1116
2007/3 Trimestre,Matosinhos,Preço de Venda / m2,1617
2007/3 Trimestre,Porto,Preço de Venda / m2,2077
2007/3 Trimestre,Vila do Conde,Preço de Venda / m2,1075
2007/3 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1076
2007/3 Trimestre,Cascais,Fogos Vendidos,1550
2007/3 Trimestre,Lisboa,Fogos Vendidos,3338
2007/3 Trimestre,Loures,Fogos Vendidos,808
2007/3 Trimestre,Oeiras,Fogos Vendidos,964
2007/3 Trimestre,Sintra,Fogos Vendidos,1913
2007/3 Trimestre,Vila Franca de Xira,Fogos Vendidos,763
2007/3 Trimestre,Amadora,Fogos Vendidos,788
2007/3 Trimestre,Odivelas,Fogos Vendidos,760
2007/3 Trimestre,Gondomar,Fogos Vendidos,601
2007/3 Trimestre,Maia,Fogos Vendidos,682
2007/3 Trimestre,Matosinhos,Fogos Vendidos,1015
2007/3 Trimestre,Porto,Fogos Vendidos,1257
2007/3 Trimestre,Valongo,Fogos Vendidos,384
2007/3 Trimestre,Vila do Conde,Fogos Vendidos,453
2007/3 Trimestre,Vila Nova de Gaia,Fogos Vendidos,2580
2007/3 Trimestre,Almada,Fogos Vendidos,972
2007/3 Trimestre,Barreiro,Fogos Vendidos,394
2007/3 Trimestre,Moita,Fogos Vendidos,362
2007/3 Trimestre,Montijo,Fogos Vendidos,346
2007/3 Trimestre,Palmela,Fogos Vendidos,346
2007/3 Trimestre,Seixal,Fogos Vendidos,876
2007/3 Trimestre,Sesimbra,Fogos Vendidos,443
2007/3 Trimestre,Setúbal,Fogos Vendidos,849
2007/4 Trimestre,Cascais,Preço de Venda / m2,1565
2007/4 Trimestre,Lisboa,Preço de Venda / m2,2291
2007/4 Trimestre,Loures,Preço de Venda / m2,1337
2007/4 Trimestre,Oeiras,Preço de Venda / m2,1951
2007/4 Trimestre,Sintra,Preço de Venda / m2,1496
2007/4 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1438
2007/4 Trimestre,Amadora,Preço de Venda / m2,1316
2007/4 Trimestre,Odivelas,Preço de Venda / m2,1707
2007/4 Trimestre,Alcochete,Preço de Venda / m2,1053
2007/4 Trimestre,Almada,Preço de Venda / m2,1462
2007/4 Trimestre,Barreiro,Preço de Venda / m2,1162
2007/4 Trimestre,Palmela,Preço de Venda / m2,991
2007/4 Trimestre,Seixal,Preço de Venda / m2,1574
2007/4 Trimestre,Sesimbra,Preço de Venda / m2,1250
2007/4 Trimestre,Setúbal,Preço de Venda / m2,1046
2007/4 Trimestre,Gondomar,Preço de Venda / m2,980
2007/4 Trimestre,Maia,Preço de Venda / m2,1047
2007/4 Trimestre,Matosinhos,Preço de Venda / m2,1573
2007/4 Trimestre,Porto,Preço de Venda / m2,1836
2007/4 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1142
2007/4 Trimestre,Cascais,Fogos Vendidos,1161
2007/4 Trimestre,Lisboa,Fogos Vendidos,4009
2007/4 Trimestre,Loures,Fogos Vendidos,829
2007/4 Trimestre,Oeiras,Fogos Vendidos,1128
2007/4 Trimestre,Sintra,Fogos Vendidos,2022
2007/4 Trimestre,Vila Franca de Xira,Fogos Vendidos,780
2007/4 Trimestre,Amadora,Fogos Vendidos,824
2007/4 Trimestre,Odivelas,Fogos Vendidos,633
2007/4 Trimestre,Gondomar,Fogos Vendidos,548
2007/4 Trimestre,Maia,Fogos Vendidos,742
2007/4 Trimestre,Matosinhos,Fogos Vendidos,1036
2007/4 Trimestre,Porto,Fogos Vendidos,1617
2007/4 Trimestre,Valongo,Fogos Vendidos,499
2007/4 Trimestre,Vila Nova de Gaia,Fogos Vendidos,1590
2007/4 Trimestre,Alcochete,Fogos Vendidos,103
2007/4 Trimestre,Almada,Fogos Vendidos,1048
2007/4 Trimestre,Barreiro,Fogos Vendidos,400
2007/4 Trimestre,Palmela,Fogos Vendidos,335
2007/4 Trimestre,Seixal,Fogos Vendidos,916
2007/4 Trimestre,Sesimbra,Fogos Vendidos,349
2007/4 Trimestre,Setúbal,Fogos Vendidos,919
2008/1 Trimestre,Cascais,Preço de Venda / m2,1605
2008/1 Trimestre,Lisboa,Preço de Venda / m2,2298
2008/1 Trimestre,Loures,Preço de Venda / m2,1333
2008/1 Trimestre,Mafra,Preço de Venda / m2,1202
2008/1 Trimestre,Oeiras,Preço de Venda / m2,1873
2008/1 Trimestre,Sintra,Preço de Venda / m2,1393
2008/1 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1378
2008/1 Trimestre,Amadora,Preço de Venda / m2,1482
2008/1 Trimestre,Odivelas,Preço de Venda / m2,1576
2008/1 Trimestre,Alcochete,Preço de Venda / m2,1061
2008/1 Trimestre,Almada,Preço de Venda / m2,1533
2008/1 Trimestre,Barreiro,Preço de Venda / m2,1182
2008/1 Trimestre,Seixal,Preço de Venda / m2,1474
2008/1 Trimestre,Sesimbra,Preço de Venda / m2,923
2008/1 Trimestre,Setúbal,Preço de Venda / m2,1047
2008/1 Trimestre,Gondomar,Preço de Venda / m2,889
2008/1 Trimestre,Maia,Preço de Venda / m2,1308
2008/1 Trimestre,Matosinhos,Preço de Venda / m2,1526
2008/1 Trimestre,Porto,Preço de Venda / m2,2026
2008/1 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1214
2008/1 Trimestre,Cascais,Fogos Vendidos,991
2008/1 Trimestre,Lisboa,Fogos Vendidos,3034
